Date,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,SHW,TRV,UNH,V,VZ,WMT
2025-07-01,207.82,290.52,220.46,322.53,209.79,390.92,271.91,69.1,145.57,123.49,706.46,373.16,225.04,291.2,155.92,290.41,71.67,297.49,153.81,81.81,492.05,73.41,153.3,161.22,355.3,267,326.14,355.47,43.68,98.24
2025-07-02,212.44,296.85,219.92,325.61,212.03,398.43,269.21,68.59,147.98,122.98,715.89,371.85,225.5,287.65,155.56,292,70.91,294.63,153.97,82.39,491.09,76.39,157.25,161.2,352.51,257.34,307.56,354.22,43.59,97.61
2025-07-03,213.55,298.24,223.41,328.13,215.92,397.86,272.15,69.37,148.37,124,723.68,371.68,226.58,291.97,156.01,296,71.35,294.08,152.94,80.93,498.84,76.39,159.34,160.83,354,264.13,308.55,358.86,43.55,98.36
2025-07-07,209.95,292.95,223.47,322.73,218.63,391.51,269.8,68.93,147.4,123.16,710.93,367.64,225.59,292.47,155.27,291.97,71.01,293.53,151.84,80.9,497.72,76.53,158.24,160.5,346.29,258.99,303.71,356.64,42.8,99.35
2025-07-08,210.01,297,219.36,316.98,218.52,394.29,273.65,68.59,153.24,121.82,697.28,367.5,226.01,290.42,155.79,282.78,70.24,291.67,153.74,81.37,496.62,73.92,160,157.89,346,256.39,307.7,354.55,43.06,97.09
2025-07-09,211.14,296.52,222.54,317.35,226.6,402.18,270.92,69.27,153.02,120.61,696.56,371.04,225,290.14,156.28,283.16,69.48,293.02,155.98,83.71,503.51,73.56,162.88,157.52,351.54,255.32,302.91,357.76,42.61,96.81
2025-07-10,212.41,300.37,222.26,325.24,226.09,408.33,263.97,68.76,154.17,121.56,709.12,373.3,223.16,287.43,157.69,288.19,69.77,298.39,157.32,84.02,501.48,74.62,164.1,158.49,351.83,255.99,299.51,355.88,42.03,94.86
2025-07-11,211.16,295.27,225.02,319.47,226.84,405.92,258.07,67.95,155.31,119.87,704.95,370.07,222.37,283.59,156.9,286.86,69.87,299.91,155.84,83.36,503.32,72.63,164.92,157.05,345.93,254.48,304.1,347.93,41.62,94.4
2025-07-14,208.62,297.03,225.69,320.92,230.51,405.77,259.68,67.82,151.65,119.97,713.3,370.11,224.37,283.79,156.82,288.7,69.47,301.88,157.91,83.67,503.02,72.25,164.07,153.76,344.5,255.47,300.58,350.5,41.58,95.78
2025-07-15,209.11,292.51,226.35,310.65,230,404.64,257.58,67.18,150.69,118.98,702.51,358.64,221.77,282.7,155.17,286.55,69.36,299.62,156.59,81.52,505.82,71.99,170.7,152.68,339.05,250.62,291.71,347.02,41.26,95.39
